Date;Group;Series;Value;Group;Series;Value
17/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,91
18/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,955
19/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,09
20/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,095
21/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,985
22/07/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
23/07/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
24/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,0175
25/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,9425
26/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,9
27/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,94
28/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,125
29/07/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
30/07/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
31/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,1775
1/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,175
2/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,235
3/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,25
4/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,295
5/08/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
6/08/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
7/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,265
8/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,23
9/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,25
10/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,21
11/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,19
12/08/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
13/08/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
14/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,24
15/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,16
16/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,1675
17/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,2075
18/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,19
19/08/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
20/08/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
21/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,2925
22/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,315
23/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,3775
24/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,2925
25/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,28
26/08/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
27/08/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
28/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,32
29/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,375
30/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,4575
31/08/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,44
1/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,405
2/09/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
3/09/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
4/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,3075
5/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,35
6/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,51
