"Date","Price","Open","High","Low","Change %"
"10/05/2017","3.700","3.700","3.700","3.700","-0.54%"
"09/05/2017","3.720","3.720","3.720","3.720","1.64%"
"08/05/2017","3.660","3.660","3.660","3.660","0.83%"
"07/05/2017","3.630","3.630","3.630","3.630","0.00%"
"06/05/2017","3.630","3.630","3.630","3.630","0.00%"
"05/05/2017","3.630","3.630","3.630","3.630","0.28%"
"04/05/2017","3.620","3.620","3.620","3.620","1.69%"
"03/05/2017","3.560","3.500","3.560","3.500","0.85%"
"02/05/2017","3.530","3.530","3.540","3.530","0.28%"
"29/04/2017","3.520","3.520","3.520","3.520","0.00%"
"28/04/2017","3.520","3.520","3.520","3.520","1.15%"
"27/04/2017","3.480","3.560","3.560","3.480","-2.25%"
"26/04/2017","3.560","3.560","3.560","3.560","2.01%"
"25/04/2017","3.490","3.490","3.490","3.490","0.29%"
"24/04/2017","3.480","3.490","3.490","3.480","0.87%"
"22/04/2017","3.450","3.450","3.450","3.450","0.00%"
"21/04/2017","3.450","3.450","3.450","3.450","0.88%"
"20/04/2017","3.420","3.420","3.420","3.420","-0.87%"
"19/04/2017","3.450","3.450","3.450","3.450","0.00%"
"18/04/2017","3.450","3.450","3.450","3.440","1.47%"
"17/04/2017","3.400","3.400","3.400","3.400","-2.02%"
"14/04/2017","3.470","3.470","3.470","3.470","0.00%"
"13/04/2017","3.470","3.470","3.470","3.470","-0.57%"
"12/04/2017","3.490","3.490","3.490","3.490","-0.29%"
"11/04/2017","3.500","3.500","3.500","3.500","-1.69%"
"10/04/2017","3.560","3.580","3.580","3.560","-1.39%"
"08/04/2017","3.610","3.610","3.610","3.610","0.00%"
"07/04/2017","3.610","3.650","3.650","3.600","-0.55%"
"06/04/2017","3.630","3.590","3.630","3.590","1.11%"
"05/04/2017","3.590","3.590","3.610","3.590","0.00%"
"04/04/2017","3.590","3.580","3.590","3.580","-0.28%"
"03/04/2017","3.600","3.590","3.600","3.590","-0.55%"
"01/04/2017","3.620","3.620","3.620","3.620","0.00%"
"31/03/2017","3.620","3.620","3.620","3.620","-1.36%"
"30/03/2017","3.670","3.670","3.670","3.670","-0.54%"
"29/03/2017","3.690","3.690","3.690","3.690","0.00%"
"28/03/2017","3.690","3.690","3.690","3.690","0.27%"
"27/03/2017","3.680","3.660","3.680","3.660","-0.27%"
"26/03/2017","3.690","3.690","3.690","3.690","0.00%"
"25/03/2017","3.690","3.690","3.690","3.690","0.00%"
"24/03/2017","3.690","3.680","3.690","3.680","0.54%"
"23/03/2017","3.670","3.670","3.680","3.670","-0.81%"
"22/03/2017","3.700","3.700","3.700","3.700","-0.80%"
"21/03/2017","3.730","3.800","3.800","3.730","-1.84%"
"20/03/2017","3.800","3.800","3.800","3.720","0.00%"
"18/03/2017","3.800","3.730","3.800","3.730","1.88%"
"17/03/2017","3.730","3.800","3.810","3.730","-1.84%"
"16/03/2017","3.800","3.800","3.800","3.800","-2.06%"
"15/03/2017","3.880","3.840","3.880","3.840","1.04%"
"14/03/2017","3.840","3.840","3.870","3.840","0.00%"
"13/03/2017","3.840","3.810","3.840","3.810","1.32%"
"11/03/2017","3.790","3.790","3.790","3.790","0.00%"
"10/03/2017","3.790","3.790","3.790","3.790","0.80%"
"09/03/2017","3.760","3.760","3.770","3.760","1.08%"
"08/03/2017","3.720","3.720","3.720","3.720","-0.53%"
"07/03/2017","3.740","3.740","3.750","3.740","0.54%"
"06/03/2017","3.720","3.720","3.720","3.720","0.54%"
"04/03/2017","3.700","3.700","3.700","3.700","0.00%"
"03/03/2017","3.700","3.700","3.700","3.700","0.82%"
"02/03/2017","3.670","3.660","3.670","3.660","-0.54%"
"01/03/2017","3.690","3.700","3.700","3.690","-0.81%"
"28/02/2017","3.720","3.720","3.730","3.720","0.00%"
"27/02/2017","3.720","3.720","3.750","3.720","0.00%"
"25/02/2017","3.720","3.720","3.720","3.720","0.00%"
"24/02/2017","3.720","3.760","3.760","3.720","-1.06%"
"23/02/2017","3.760","3.800","3.800","3.720","-1.05%"
"22/02/2017","3.800","3.800","3.800","3.760","0.00%"
"21/02/2017","3.800","3.800","3.800","3.800","-0.78%"
"20/02/2017","3.830","3.830","3.830","3.830","0.52%"
"18/02/2017","3.810","3.810","3.810","3.810","0.00%"
"17/02/2017","3.810","3.760","3.810","3.760","1.33%"
"16/02/2017","3.760","3.760","3.770","3.760","0.27%"
"15/02/2017","3.750","3.750","3.760","3.750","1.08%"
"14/02/2017","3.710","3.710","3.720","3.710","-0.80%"
"13/02/2017","3.740","3.740","3.740","3.740","0.27%"
"11/02/2017","3.730","3.730","3.730","3.730","0.00%"
"10/02/2017","3.730","3.970","3.970","3.730","0.27%"
"09/02/2017","3.720","3.730","3.730","3.720","-0.80%"
"08/02/2017","3.750","3.750","3.750","3.750","0.54%"
"07/02/2017","3.730","3.730","3.730","3.730","0.27%"
"06/02/2017","3.720","3.730","3.730","3.720","0.27%"
"04/02/2017","3.710","3.710","3.710","3.710","0.00%"
"03/02/2017","3.710","3.720","3.720","3.710","-0.80%"
"02/02/2017","3.740","3.740","3.740","3.740","-0.27%"
"01/02/2017","3.750","3.750","3.750","3.750","-0.53%"
"31/01/2017","3.770","3.770","3.770","3.770","-0.53%"
"30/01/2017","3.790","3.790","3.790","3.790","0.00%"
"28/01/2017","3.790","3.790","3.790","3.790","0.00%"
"27/01/2017","3.790","3.820","3.820","3.790","-0.79%"
"26/01/2017","3.820","3.820","3.820","3.790","0.00%"
"25/01/2017","3.820","3.780","3.820","3.780","1.06%"
